Time,Pitch,Roll,Yaw,X-Accel,Y-Accel,Z-Accel,Gyro1,Gyro2,Gyro3,Mag1,Mag2,Mag3
0.2749910354614258,-0.35449678966079134,-0.18686159058904217,177.280040165698,458,595,16475,-73,44,72,405.875,98.75,-79.0
0.5514678955078125,-0.448104635409626,-0.17555982493255787,175.0736531624299,362,578,16377,-9,115,2,403.0,96.5,-88.375
0.8272991180419922,-0.5475293888990082,-0.20208933110520558,173.10706116504159,208,485,16506,-43,16,-23,405.375,103.125,-83.625
1.1025190353393555,-0.7176674717210716,-0.11561971491665347,171.6601614252742,275,408,16626,-4,-26,-15,405.5,99.375,-80.625
1.3780570030212402,-0.7725824588941456,-0.050972014725465226,170.51979206147664,229,449,16581,-68,-1,-7,403.75,99.0,-79.25
1.6536474227905273,-0.8267333449936864,0.019360216560912774,169.603969519654,235,393,16601,-45,-8,19,406.75,101.625,-82.375
1.9292538166046143,-0.8135841354868589,0.26078753868314763,168.87769605786107,155,433,16440,26,-18,-30,407.875,99.25,-82.125
2.2047922611236572,-0.7025631976158153,0.3088581144593707,168.35995262692344,75,340,16620,-35,8,22,407.125,99.5,-82.625
2.480403423309326,-0.7983515732391375,0.41496903815052794,167.89963988408422,199,401,16660,-27,-55,23,407.125,101.25,-81.375
2.7563695907592773,-0.8591491294747604,0.5513535325468216,167.62744939613978,150,405,16706,-13,-75,35,407.375,98.5,-80.875
3.0353519916534424,-0.8909669410424679,0.7132531125945774,167.511634096091,204,407,16513,5,-39,48,407.0,95.375,-80.375
3.3931844234466553,-1.015471278320954,0.7851435459913431,167.32199924995064,432,424,16499,-35,12,39,409.125,98.75,-79.75
3.7304770946502686,-1.0562744205727763,0.9237417447665497,167.16033512121422,278,477,16561,-16,-32,-1,412.0,97.625,-80.375
4.083041667938232,-1.1470889204788686,1.040997122435278,167.04872062963295,368,500,16572,-26,-27,7,410.75,97.0,-79.625
4.36000394821167,-1.1916006279471443,1.2299705346470335,166.9324251480778,315,500,16589,35,-38,-28,407.625,95.25,-83.0
4.63518500328064,-1.1810337283140868,1.3639125841896225,166.82742516469534,290,563,16468,-7,-18,-10,410.5,97.125,-81.875
4.910384654998779,-1.1060703799759082,1.4199809595279382,166.7193151996281,250,533,16536,-19,8,13,409.375,98.875,-81.125
5.185824155807495,-1.1168155476437345,1.4018737148324345,166.7215009622029,294,514,16652,-60,-20,23,410.125,96.25,-84.5
5.461143493652344,-1.136234509951162,1.417397795899862,166.70691970095237,365,504,16652,-33,9,22,406.25,96.0,-80.5
