Time,Pitch,Roll,Yaw,X-Accel,Y-Accel,Z-Accel,Gyro1,Gyro2,Gyro3,Mag1,Mag2,Mag3
0.27543139457702637,-1.847831666706179,2.085743866066531,-174.67955967212285,1380,1612,16280,36,-263,-120,437.5,-225.0,-79.625
0.550729513168335,-2.8175729913610312,3.065275289040632,-170.68007136240863,1860,1152,16522,-19,174,-274,436.375,-223.625,-76.25
0.8287017345428467,-3.862084237085105,3.7058853179191886,-167.44592276580877,1581,1080,16826,27,-214,-210,440.5,-226.25,-79.375
1.1050820350646973,-4.451807943801186,4.149525041623956,-165.0610816481878,1857,1299,16257,-72,69,-250,437.5,-219.375,-81.0
1.3815886974334717,-4.693945102015463,4.248688078095593,-163.14535981626196,1640,1085,16631,-66,58,-265,441.25,-222.75,-78.0
1.6585583686828613,-4.786945068740551,4.485027584233161,-161.58951727590613,1485,1284,16424,-27,50,-190,442.625,-221.25,-79.875
1.9350130558013916,-4.727388199302207,4.54186066381119,-160.34844955653398,1307,1179,16892,-25,14,-251,443.875,-226.0,-76.375
2.210315704345703,-5.194428215250462,4.845731586129278,-159.47595611114687,1574,1465,16410,8,-186,-243,443.0,-222.75,-80.125
2.486799955368042,-5.172180418207619,4.876985023415876,-158.72400221730135,1483,1336,16678,-38,11,-223,445.0,-224.125,-79.625
2.7620084285736084,-5.22593077301949,4.960455619907939,-158.13303578023684,1556,1379,16487,-16,4,-222,446.25,-224.875,-80.125
3.037189483642578,-5.335540224787224,4.811774059697887,-157.7319810898601,1547,1298,16911,-85,-72,-188,442.5,-218.125,-80.875
3.3931243419647217,-4.927992980051077,4.691356171669654,-157.42116907115707,1332,1203,16574,-40,168,-185,445.5,-217.25,-79.75
3.7547073364257812,-4.990697579556942,4.652669971524166,-157.17183830508156,1520,1185,16578,2,1,-227,451.0,-223.375,-79.125
4.104716062545776,-4.888628142938592,4.470460246366801,-157.12045437294165,1323,1023,16221,-22,12,-258,449.5,-217.75,-80.25
4.460943222045898,-4.740157515438542,3.704248411730346,-157.59771976969444,1451,862,16615,-348,90,-449,457.75,-210.25,-86.125
4.818445682525635,-4.9301238874785565,3.3519977522584212,-158.5343039539163,1319,456,16185,3,-181,-711,470.375,-206.5,-82.875
5.1728150844573975,-5.433386203514409,3.0364635219326925,-158.61431322876896,1400,1109,16622,-331,-367,-250,462.375,-204.625,-85.75
5.5296790599823,-5.565070357232168,2.5481246517884193,-158.00470973954964,1369,908,16336,-372,-171,126,463.5,-209.125,-85.75
5.886430978775024,-4.950134834582585,2.763566637737134,-158.16777733236805,1250,801,16114,56,244,-318,464.75,-207.875,-83.625
6.243294715881348,-5.065192337750567,3.217746779234607,-157.8812670368283,1330,1024,16516,146,-123,-161,457.25,-214.25,-78.5
6.604591608047485,-5.123451297649565,3.628492114498157,-157.50920080718785,1515,1160,16477,112,-3,-129,455.875,-218.875,-80.25
6.963998079299927,-5.553399047665904,3.8340225077879344,-157.90413686325903,1696,1674,16489,-227,-204,-350,461.75,-208.25,-85.375
7.320200204849243,-5.724811781363265,4.9811508751020535,-158.28788972541057,1902,2060,16449,242,8,-368,464.875,-208.375,-84.375
7.6816086769104,-5.504128734340116,4.867013567535433,-159.11512906221583,1790,1264,16872,-22,150,-543,483.375,-201.375,-88.625
8.029803276062012,-5.186726129873803,5.130996529346789,-158.87484864954305,1186,1458,16964,142,-3,-60,485.375,-212.625,-92.5
8.381078004837036,-4.785596715045697,4.284749617685484,-158.41639220512113,528,904,15595,-340,-196,36,476.875,-215.125,-91.125
8.735745906829834,-5.010398320360334,4.476330242346588,-158.9997798231588,1784,1420,16779,-33,-3,-630,481.375,-217.5,-91.25
9.078167915344238,-4.320633385083836,3.7543924925730066,-159.3060614117529,847,345,17004,-71,124,-530,491.375,-217.5,-82.75
9.353099822998047,-5.234107289810351,4.398989466406226,-158.71928456137425,1294,1462,16158,181,-566,-29,474.625,-219.875,-77.0
9.6283700466156,-3.685065602377775,3.0153653252937187,-157.65070384558132,502,723,17985,-645,541,322,475.25,-218.75,-80.0
9.90372920036316,-4.1468740889536955,2.3282717883250053,-157.3799625561442,390,396,16852,-242,-657,18,451.375,-204.0,-78.375
10.179991245269775,-4.235643023547675,2.1874039089905564,-158.0083681143118,1144,437,16672,-23,-110,-538,459.75,-204.0,-76.125
10.45538067817688,-3.4320959974799767,1.9725441804717783,-158.27346690144742,149,345,16488,-26,-9,-273,462.375,-197.25,-74.25
10.730622291564941,-2.9736251269191003,1.7277150564119987,-158.3230133539095,821,133,16118,34,235,-176,460.0,-195.375,-70.625
11.0058753490448,-2.979986745613119,2.8502233400523065,-157.90540984620978,1213,1610,16429,162,197,-17,444.375,-200.875,-69.0
11.281088590621948,-3.150641450048355,3.199335064296943,-157.827899855611,406,1072,15675,37,-335,-209,426.125,-195.75,-69.125
11.556377649307251,-3.4253454573871385,2.703898867496624,-157.90703610502953,1232,581,16421,-216,-24,-349,423.75,-196.0,-69.875
11.83167839050293,-2.6939713947866957,2.2689674293034114,-158.42663023566115,96,705,17414,-298,23,-608,422.0,-191.5,-66.375
12.106873512268066,-2.7585673838221747,1.5647565513853727,-158.59307051383118,1197,-420,15829,24,194,-487,421.5,-190.75,-61.125
12.38200855255127,-2.3414069587859014,1.101347954398208,-157.70402742902147,543,-499,16808,128,166,96,422.0,-197.25,-58.0
12.657249927520752,-2.067688349796488,0.9823719734079575,-157.0803324651262,558,-152,15605,126,158,-26,414.375,-198.0,-54.75
